Matrix Size,Duration,Cooling Type,Final Temperature,Time Of Best Solution,Best Path Length,Max Time
ftv55.atsp
56,3869199,1,0.00996353,2135,1723,120000
56,3886365,1,0.00999481,2213,1695,120000
56,3927178,1,0.00995832,2148,1881,120000
56,4020801,1,0.00990721,2346,1889,120000
56,4007401,1,0.00995198,2291,1894,120000
56,3933328,1,0.00995259,2124,1940,120000
56,3925690,1,0.00998684,2248,1834,120000
56,3866047,1,0.00997139,2242,1850,120000
56,3946378,1,0.00997633,2227,1852,120000
56,3869967,1,0.00995343,2280,1778,120000
56,5906768,2,0.00998621,3786,1694,120000
56,5841582,2,0.00999203,3578,1861,120000
56,5807933,2,0.00993814,3454,1728,120000
56,5860538,2,0.0099538,3618,1798,120000
56,5946673,2,0.00995636,3896,1825,120000
56,6038024,2,0.00995541,3702,1858,120000
56,5953142,2,0.00993161,3613,1874,120000
56,5923266,2,0.00995759,3594,1869,120000
56,5886390,2,0.0099938,3651,1875,120000
56,5903537,2,0.00998404,3532,1706,120000
56,1460368,3,0.00958835,1165,1924,120000
56,1443982,3,0.00973454,1117,1889,120000
56,1506719,3,0.00964145,1185,1909,120000
56,1430213,3,0.00968016,1107,1845,120000
56,1431264,3,0.00953888,0,1948,120000
56,1417347,3,0.00990226,1093,1911,120000
56,1422737,3,0.00981734,1092,1826,120000
56,1427984,3,0.0095007,0,1948,120000
56,1422062,3,0.00955341,1082,1834,120000
56,1482473,3,0.00976269,0,1948,120000
ftv170.atsp
171,58052216,1,0.00997243,0,3582,240000
171,58726928,1,0.00991539,0,3582,240000
171,57819074,1,0.00990798,0,3582,240000
171,57416194,1,0.00998728,0,3582,240000
171,57705250,1,0.00990415,0,3582,240000
171,57737343,1,0.00999806,0,3582,240000
171,59087101,1,0.00998651,0,3582,240000
171,58389153,1,0.00992674,39076,3566,240000
171,56686557,1,0.00993429,0,3582,240000
171,57346420,1,0.00996784,0,3582,240000
171,84552554,2,0.00992886,0,3582,240000
171,85367315,2,0.0099796,0,3582,240000
171,84744990,2,0.00996785,0,3582,240000
171,84692120,2,0.00997152,60897,3467,240000
171,84864970,2,0.00994881,0,3582,240000
171,84367304,2,0.00998182,59567,3474,240000
171,84914609,2,0.00996259,58424,3559,240000
171,85464697,2,0.00994292,56764,3474,240000
171,85677650,2,0.00999556,0,3582,240000
171,84892792,2,0.00994823,0,3582,240000
171,19842874,3,0.00946488,0,3582,240000
171,20199966,3,0.00993898,0,3582,240000
171,20261488,3,0.00958637,0,3582,240000
171,20524887,3,0.00949232,0,3582,240000
171,20151790,3,0.00994023,0,3582,240000
171,20124863,3,0.00968971,0,3582,240000
171,20066799,3,0.00959143,0,3582,240000
171,20063225,3,0.00995433,0,3582,240000
171,20063439,3,0.00993316,0,3582,240000
171,20172055,3,0.00975492,0,3582,240000
rbg358.atsp
358,359445317,1,0.00992997,268399,1210,360000
358,360169236,1,0.0128505,287995,1211,360000
358,360178731,1,0.0106144,285481,1211,360000
358,357315355,1,0.00998103,278084,1217,360000
358,358375726,1,0.00996199,277793,1227,360000
358,357863475,1,0.00995728,284934,1221,360000
358,356576489,1,0.00995455,276707,1191,360000
358,359249247,1,0.00994169,271967,1234,360000
358,358175579,1,0.0099638,265712,1222,360000
358,355407340,1,0.00997373,274727,1223,360000
358,360068014,2,3.17667,0,1747,360000
358,360052001,2,4.86028,0,1747,360000
358,360077220,2,3.69358,0,1747,360000
358,360074247,2,3.45398,0,1747,360000
358,360199861,2,3.55523,0,1747,360000
358,360086945,2,3.65859,0,1747,360000
358,360101186,2,3.25543,0,1747,360000
358,360191720,2,2.95098,0,1747,360000
358,360051388,2,3.29626,0,1747,360000
358,360087491,2,2.99671,0,1747,360000
358,127502324,3,0.00978801,111884,1272,360000
358,127164646,3,0.00957193,111709,1288,360000
358,127943828,3,0.00983755,123225,1244,360000
358,127363432,3,0.00988002,111145,1279,360000
358,127008230,3,0.00960913,116530,1263,360000
358,127057819,3,0.00970294,112341,1282,360000
358,127176323,3,0.00949047,113041,1234,360000
358,127194763,3,0.00973305,113274,1247,360000
358,127158147,3,0.00975428,113851,1243,360000
358,127519120,3,0.00974374,112931,1244,360000
